fd,model,loss,window,lr,hp,test_rmse,test_rmse_std,nasa,val_rmse,n
FD001,lstm,mse,50,0.001,"hid160,layers1,p0.3",13.902,0.459,334.85,10.896,2
FD001,gru,asym,50,0.001,"hid64,layers1,p0.3",13.904,1.076,278.45,11.492,2
FD001,gru,mse,50,0.001,"hid64,layers2,p0.2",13.912,0.042,299.05,10.775,2
FD001,lstm,asym,30,0.001,"hid96,layers3,p0.3",13.914,0.549,309.6,13.204,2
FD001,lstm,mse,30,0.001,"hid64,layers1,p0.3",13.915,0.156,355.45,12.864,2
FD001,bilstm,asym,50,0.001,"hid128,layers1,p0.2",13.926,,305.2,10.803,1
FD001,gru,mse,50,0.001,"hid128,layers3,p0.3",13.926,0.054,303.75,10.853,2
FD001,lstm,mse,30,0.0,"hid96,layers2,p0.3",13.927,0.308,411.2,13.099,2
FD001,gru,asym,30,0.001,"hid64,layers3,p0.3",13.929,0.342,377.35,12.804,2
FD001,gru,mse,50,0.0,"hid64,layers1,p0.2",13.93,0.852,309.45,13.652,2
FD001,bilstm,asym,50,0.0,"hid128,layers2,p0.2",13.938,0.332,324.9,11.001,2
FD001,gru,asym,30,0.001,"hid64,layers2,p0.3",13.943,0.266,316.9,12.851,2
FD001,bilstm,mse,50,0.001,"hid128,layers2,p0.2",13.948,,314.3,11.028,1
FD001,gru,asym,50,0.001,"hid128,layers1,p0.3",13.948,0.18,299.5,10.948,2
FD001,lstm,asym,50,0.0,"hid96,layers3,p0.2",13.948,0.004,321.5,10.962,2
FD001,lstm,mse,50,0.001,"hid128,layers1,p0.3",13.965,0.08,293.4,10.983,2
FD001,lstm,asym,30,0.0,"hid160,layers3,p0.2",13.966,1.079,410.5,13.056,2
FD001,cnnlstm,mse,50,0.001,"ch32,hid128,p0.3",13.972,0.728,386.55,13.169,2
FD001,gru,mse,30,0.001,"hid64,layers3,p0.3",13.972,0.382,338.95,12.77,2
FD001,bilstm,asym,30,0.0,"hid128,layers2,p0.2",13.98,,370.0,12.749,1
FD001,lstm,asym,50,0.001,"hid160,layers1,p0.3",13.984,0.086,318.95,10.524,2
FD001,patchtst,mse,50,0.001,"patch10,stride5,d_model128,layers3,revinFalse",14.0,,330.6,10.536,1
FD001,cnnlstm,asym,30,0.001,"ch64,hid64,p0.2",14.004,,301.8,15.838,1
FD001,lstm,asym,50,0.0,"hid128,layers3,p0.3",14.007,0.28,314.75,11.343,2
FD001,bilstm,mse,50,0.001,"hid96,layers2,p0.2",14.009,0.009,337.2,11.244,2
FD001,bilstm,mse,50,0.001,"hid96,layers1,p0.3",14.01,0.325,324.5,11.262,2
FD001,lstm,asym,30,0.0,"hid64,layers1,p0.3",14.011,0.272,355.55,12.94,2
FD001,lstm,mse,30,0.0,"hid64,layers1,p0.2",14.014,0.296,395.3,13.176,2
FD001,lstm,asym,50,0.0,"hid96,layers3,p0.3",14.022,0.082,296.8,10.924,2
FD001,gru,mse,50,0.001,"hid128,layers2,p0.2",14.028,0.059,313.8,10.646,2
FD001,bilstm,mse,30,0.001,"hid128,layers2,p0.3",14.03,,291.8,13.785,1
